C1400|Hallmark Cards
A3100|National Grain & Feed Assn
T6200|Society for Relief of Distressed Pilots
T2300|JM Family Enterprises
Z1200|Serrano for Congress
F1100|National Assn of Govt Guaranteed Lenders
J7150|Republicans for Choice
J1100|Lincoln Club of Riverside County
Z1200|Moran for Congress
K1000|Arent Fox LLP
|MARINE RETAILERS ASSOCIATION OF AMERICA COMMITTEE 
G2900|Brinker International
LB100|Plumbers/Pipefitters Union Local 392
A5000|Forest Landowners Assn
K1000|Reed Smith LLP
H2100|Kindred Healthcare
E2000|MWH Americas
Z1200|Andrews for Congress Cmte
|ENERGYSOUTH PAC                                   
G2400|Hy-Vee Inc
E1220|Kennecott Holdings
Z1200|Citizens for Eleanor Holmes Norton
A3000|Livestock Marketing Assn
|FRIANT WATER PAC                                  
Z5200|Beaver County Democratic Cmte
B3000|National Roofing Contractors Assn
H1750|American Society of Health System Pharmacists
T8300|National Marine Manufacturers Assn
|ENGLISH FIRST POLITICAL VICTORY FUND              
Y0000|Jay's Friends in Politics
G2100|Pacific Coast Producers
E1120|Independent Petroleum Assn of America
Z5200|Democratic Party of Ottawa County
H1500|Connecticut Chiropractic Assn
LT100|Association of Professional Flight Attendants
G2300|Seaboard Corp
J7500|American Task Force for Lebanon Legis Council
LB100|Operating Engineers Local 138
H3700|Magellan Health Services
J5100|NorPAC
|FRELINGHUYSEN FOR CONGRESS '90                    
H4400|Healthcare Distribution Management Assn
J7120|Maryland Right to Life
G2850|Wine & Spirits Wholesalers/Connecticut
A4100|Dow AgroSciences
K1000|Brouse & McDowell
K2000|Wexler & Walker Public Policy Assoc
|FOOTWEAR DISTRIBUTORS & RETAILERS OF AMERICA POLIT
J1100|California Lincoln Clubs
C5000|Alarm Industry Communications Cmte
C4500|Comcast Corp
A4100|CropLife America
J2100|People Helping People
LB100|Laborers Union Local 113
Z5100|Alaska Federation of Republican Women
H1130|American Society of Plastic Surgeons
|Bakery & Confectionery Workers Local 19
E4200|American Sportfishing Assn
H1700|American Assn of Bioanalysts
|INVACARE CORPORATION POLITICAL ACTION COMMITTEE AK
|ALLERPAC - JOINT COUNCIL OF ALLERGY ASTHMA AND IMM
F1100|North Carolina Bankers Assn
T6200|Kirby Corp
G2100|Grocery Manufacturers Assn
|ORBITAL ATK INC. POLITICAL ACTION COMMITTEE       
T2310|Automotive Free International Trade PAC
E1300|Southern Nuclear Operating Co
G2800|Tennessee Malt Beverage Assn
A1100|California Cotton Growers Assn
Z1100|Ewing Il Cmte
Z5100|Third District North Carolina Repub Pty
Z1100|Friends of Sam Johnson
T2200|Auto Care Assn
Z5100|Humboldt County Republican Central Cmte
LT100|United Pilots PAC
G2900|Eat 'n Park Restaurants
|THE JEFFERSON COMMITTEE                           
G2900|Pizza Hut Franchisees Assn
LD100|Association of Scientists & Prof Engr Personnel
G4500|Lowe's Companies
E2000|Weston Solutions
H4300|Amgen Inc
Z1200|Pastor for Arizona
LB100|Plumbers/Pipefitters Union Local 24
M1000|American Chemistry Council
LB100|Plumbers/Pipefitters Union Local 475
Z5100|Republican Party of San Diego County
F3200|Cambia Health Solutions
G2900|Cracker Barrel Old Country Store
LB100|Plumbers/Pipefitters Union Local 690
JE300|League of Conservation Voters
G2900|Bloomin' Brands
Z1200|Peterson for Congress
Z5100|Republican Party of Alaska
LB100|Laborers Union/Philadelphia
F2100|Invesco Ltd
A4000|Farmer Mac
J9000|US Immigration Reform PAC
Z1200|Gene Green Congressional Campaign
L1400|Uniformed Firefighters Assn
F4600|National Assn of Mortgage Brokers
M7300|Crown Cork & Seal
Z1200|Fattah for Congress
Z5100|Republican Party of Sacramento County
Z1200|Eddie Bernice Johnson for Congress
Z1200|Gutierrez for Congress
A1200|Sugar Cane Growers Co-op of Florida
A1600|Western Peanut Growers Assn
J1100|CASTLEPAC
F3300|Jackson National Life Insurance
H3000|National Renal Administrators Assn
Z1100|Bartlett for Congress Cmte
K1000|Miller & Chevalier
A5000|Plum Creek Timber
T3100|American Moving & Storage Assn
J7120|Republican National Coalition for Life
Z1200|Friends of Jim Clyburn
Z5300|Libertarian National Cmte
H1130|American Society of Anesthesiologists
|THE OPTIONS CLEARING CORPORATION PAC              
E1600|Energy Future Holdings Corp
|FAIRPAC                                           
|REEBOK INTERNATIONAL LTD PAC                      
|
F3100|Reinsurance Assn of America
Z1200|Bobby Scott for Congress
Z1200|Citizens for Rush
G4100|Gap Inc
Z5100|Sonoma County Republican Central Cmte
M3300|Procter & Gamble
Z1100|Ken Calvert for Congress
F1200|Washington Federal Savings & Loan
Z1200|People for Patty Murray
|OKLAHOMA COMMUNITY ACTION PROGRAM - POLITICAL ACTI
|
Z1100|Bob Goodlatte for Congress Cmte
F3300|Western & Southern Life Insurance
H4500|EMD Serono Inc
Z1100|Buck McKeon for Congress
Z1200|Anna Eshoo for Congress
Z1100|Hastings for Congress Campaign Cmte
|Barrack
Z1100|Volunteers for Shimkus
Z1200|Lucille Roybal-Allard for Congress
Z1200|Mathews for Congress
Z5200|Association of State Democratic Chairs
E1500|American Wind Energy Assn
H2200|HCR Manor Care
J7120|New Jersey Right to Life
Z1100|Bachus for Congress
Z1200|Mel Watt for Congress Cmte
F4000|Imperial Land Corp
|CARPENTERS FEDERAL PAC OF PHILADELPHIA METROPOLITA
K1000|Hogan Lovells
Z5100|Republican Central Cmte/Los Angeles County
T5100|Railway Supply Institute
|WHITE AND WILLIAMS POLITICAL ACTION COMMITTEE     
C4000|Cellular Telecom & Internet Assn
|COUNCIL OF NEW JERSEY CHIROPRACTORS PAC           
Y0000|Federal Independent Campaign Cmte
Z5100|Republican Central Cmte/San Luis Obispo County
F1100|S&T Bank
|GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY POLITI
G6500|Fertitta Entertainment
Z1200|Becerra for Congress
|INTERNATIONAL UNION OF POLICE ASSOCIATIONS        
Z1200|Menendez for Senate
L1500|Illinois State Letter Carriers Assn
Z1200|Friends of Sherrod Brown
A4000|Agricultural Retailers Assn
|GREAT LAKES DREDGE & DOCK COMPANY                 
LB100|California State Pipe Trades Council
L1400|Southern States Police Benevolent Assn
Z5100|Kern County Republican Central Cmte
M9300|American Watch Assn
Z1100|Pryce for Congress
|Lionel
K1200|Greenberg Traurig LLP
J1100|Western Way PAC
Z1100|Knollenberg for Congress Cmte
Z1100|Chambliss for Senate
Z1200|Sanford Bishop for Congress
Z5200|11th Congressional District Democratic Cmte of VA
LT300|Teamsters Local 331
LT100|Allied Pilots Assn
T5200|Trinity Industries
F3100|Amica Mutual Insurance
J1100|Republican Liberty Caucus
Z1100|Lobiondo for Congress
J2200|Future Leaders PAC
J2300|Lone Star Project
Z1200|Hastings for Congress
Z1200|Marty Meehan for Congress Cmte
LB100|Laborers Union/Seattle
G2820|Ste Michelle Wine Estates
Z5100|Republican Party of Stark County
F3200|Capital Blue Cross
H3700|Humana Inc
Z1200|Committee to Re-Elect Nydia M Velazquez
J2100|AmeriPAC: The Fund for a Greater America
|COMMITTEE TO ELECT MCHUGH                         
Z1100|Pete King for Congress Cmte
LB100|Ironworkers Union Local 167
|Maynard
Z1200|Friends of Corrine Brown
|POLITICAL ACTION COMMITTEE OF CRITICAL CARE SYSTEM
H1130|American Assn of Clinical Urologists
Z1200|Maloney for Congress
L1400|Phoenix Law Enforcement Assn
Z5200|Sixth District Democratic Party of Wisconsin
Z5200|Sacramento County Democratic Central Cmte
H3700|UnitedHealth Group
E5000|Texas Rural Water Assn
H1130|College of American Pathologists
D3000|DRS Technologies
F1100|Zions Bancorp
|CITIZEN ACTION OF NEW YORK INC PAC (CITIZEN ACTION
F1400|Cash America International
|Robins
LB100|Painters & Allied Trades Dist Council 21
F3200|Blue Cross/Blue Shield of Nebraska
E1610|Wyoming ACRE
F1100|International Bank of Commerce
A3000|Illinois Beef Assn
Z5200|San Luis Obispo County Demo Central Cmte
B5100|Rogers Group
Z5100|Fairfax County Republican Cmte
|
Z5200|Fairfax County Democratic Cmte
|CITIZENS FOR RESPONSIBLE GOVERNMENT               
|MORISSET
K1000|Winthrop & Weinstine
J6200|Gun Owners of America
G4300|Family Express Corp
|CITIZENS FOR A BETTER AMERICA (R) (CFABA.ORG)     
|NEW YORK LEAGUE OF CONSERVATION VOTERS FEDERAL FUN
J7500|Albanian American PAC
F1100|Relyance Bank
C00278812|FRANK
|Nelson
|NEW BEDFORD PANORAMEX CORP POLITICAL ACTION COMMIT
H5100|Friends of Ferris
C2100|iHeartMedia Inc
E1110|Apache Corp
Z1200|Friends of Barbara Boxer
E1210|CONSOL Energy
LT500|Marine Engineers Beneficial Assn/Dist 1
H4300|AstraZeneca Pharmaceuticals
|CLIMACO
T8100|Polaris Industries
A4000|Rain & Hail Insurance Society
L1200|American Federation of School Administrators
|GEORGIA GUN OWNERS POLITICAL ACTION COMMITTEE     
LB100|Operating Engineers Local 99
Z5300|Constitution Party National Cmte
G5500|Textile Rental Services Assn of America
H1130|Arizona Orthopaedic Society
Z1200|Friends of Bennie Thompson
J1200|Progressives United
|PH&S FEDERAL PAC                                  
K1000|Akerman LLP
|OFFICIAL 12TH DIST DEM PARTY                      
H1130|Montgomery Cardiovascular Assoc
E5000|United Water
F5100|KPMG LLP
Z1100|Ros-Lehtinen for Congress
T5100|Association of American Railroads
LT000|AFL-CIO Transportation Trades Dept
H4300|Bayer Corp
D2000|BAE Systems
LB100|Plumbers/Pipefitters Union Local 85
|S-PAC                                             
B5100|Buzzi Unicem USA
B5400|American Traffic Safety Services Assn
J7500|Vietnamese American PAC
|PEOPLE'S ADVOCATE INC POLITICAL ACTION COMMITTEE  
C2400|Sony Pictures Entertainment
D8000|AM General Corp
|REPUBLICAN CONGRESSIONAL VICTORY FUND             
J7400|WomenWinning
Z5300|Conservative Party of New York State
E1210|Lignite Energy Council
M7100|Graphic Packaging International
|HORMEL FOODS CORPORATION PAC: AKA HORMEL-PAC      
K1000|Winston & Strawn
Z1100|Mica for Congress
F1100|Amegy Bank
JH100|American AIDS PAC
F3200|National Assn of Health Underwriters
|DEMOCRATS FOR AMERICUM                            
J7400|Women in Leadership
M1000|Praxair Inc
J1100|Dallas Entrepreneur PAC
A6500|Florida Farm Bureau
|PEOPLE FOR ENGLISH                                
J7120|Vermont Right to Life
Z1100|Latourette for Congress Cmte
T9100|Marriott International
G4500|Home Depot
Z1200|McGovern Cmte
Z1100|Sanford for Congress
LB100|Carpenters Union/Southwest Region
A6500|Kansas Farm Bureau
Z1100|Thornberry for Congress
|POLITICAL AND LEGISLATIVE ORGANIZATION ON WATCH CO
Z1200|Doggett for US Congress Cmte
LT100|Professional Airways Systems Specialists
Z1100|Friends of Doc Hastings
J9100|Term Limits America
F3200|CareFirst Blue Cross/Blue Shield
B4000|Parsons Brinckerhoff
Z1100|Iowans for Latham
|CEMENT KILN RECYCLING COALITION POLITICAL ACTION C
|HOLLAND AMERICA LINE INC. PAC (HALPAC)            
LT400|Train Dispatchers Political League
B6000|Manitowoc Co
Z1200|Sheila Jackson Lee for Congress
Z1100|Frank Lucas for Congress
|FRIENDS OF MAYOR CALIGUIRI                        
H3000|Rural/Metro Corp
M1500|PolyOne Corp
D3000|Telos Corp
T5100|Genesee & Wyoming
Z1100|Friends of Mark Foley for Congress
|Stoel
F2100|Putnam Investments
Z1200|Lofgren for Congress
|GOLD CIRCLE-FEDERAL COMMITTEE                     
H2100|Missouri Hospital Assn
Z1100|Whitfield for Congress Cmte
Z1200|Doyle for Congress Cmte
J1100|Renew America PAC
J1110|Freedom's Heritage Forum
Z1200|Friends of Farr
F1100|Fifth Third Bancorp
Z1200|Nadler for Congress
A1500|Missouri Soybean Assn
C4600|American Public Communications Council
M2100|AK Steel
B3000|Mason Contractors Assn of America
F1200|Community Bankers Assn of Illinois
|CALIFORNIA P A C                                  
J2400|Olympia's List
H2200|Genesis HealthCare
H4300|Allergan Inc
E1600|Otter Tail Corp
M9000|Thermo Fisher Scientific
|MICHIGAN INDEPENDENT POLITICAL ACTION COMMITTEE   
A1500|Scoular Co
J7120|Illinois Citizens For Life
F4600|Florida Assn of Mortgage Brokers
|PEACE ACTION WEST VOTER FUND                      
H1700|Alliance for Natural Health USA
H1400|American Assn of Orthodontists
J7500|Fannie Lou Hamer Federal PAC
M2100|American Iron & Steel Institute
J1100|Citizens United
|APARTMENT AND OFFICE BUILDING ASSOCIATION OF METRO
Z5200|Democratic Party of the District of Columbia
A2300|California Poultry Federation
A1200|Florida Crystals
J2200|Republican Majority Fund
F3300|Ohio National Life Insurance
T1300|Rolls-Royce North America
G4000|Consumer Fireworks Safety Assn
C5000|Eastman Kodak
|Stroock
J1110|Government Is Not God
|OKLAHOMA GROCERS ASSOCIATION POLITICAL ACTION COMM
LT300|Teamsters Local 1150
T6000|West Gulf Maritime Assn
H4600|Natural Products Assn
E4100|United Catcher Boats
A5000|Texas Forestry Assn
J1100|Madison Project
|AMERICAN ASSOCIATION OF ELECTRONIC REPORTERS      
J4000|National Taxpayers Union
T5100|American Short Line & Regional RR Assn
T8100|Motorcycle Riders Foundation
M8000|Carpet & Rug Institute
|ILLINOIS PRAIRIE STATE CHIROPRACTIC ASSOC ICE-PAC 
J2100|Leadership of Today & Tomorrow
G6500|MGM Resorts International
J1200|Italian American Dem Leadership Council
Z1100|Frelinghuysen for Congress
|MCDERMOTT WILL & EMERY LLP PAC                    
C4100|TDS Telecommunications
|CONSTITUTION PARTY OF KENTUCKY                    
LM100|United Steelworkers Local 420
F1100|Wells Fargo
J1200|Mid-Atlantic Progressive Leadership Cmte
F3100|Doctors' Co
D3000|SAIC
|COMMITTEE FOR/ADV OF SE COTTON (CASC) SOUTHERN COT
F3100|National Assn of Surety Bond Producers
G5270|Accenture
Z5200|Los Angeles County Democratic Central Cmte
Z1100|Brian Bilbray for Congress
F1100|First National of Nebraska
J1100|Black America's PAC
M7000|Envelope Manufacturers Assn of America
H2100|Texas Hospital Assn
F3200|Blue Cross/Blue Shield of Kansas City
F4300|Attorneys' Title Guaranty Fund
E5000|Kings River Water Assn
G2300|North American Meat Assn
Z1100|Steve Chabot for Congress
|Kelley
F4600|Radian Group
F1200|Community Bankers Assn of Ohio
G5250|Express Services Inc
|NORTHWEST PAC                                     
Z1200|Rangel for Congress
Z1100|Bass Victory Cmte
J2100|National Leadership PAC
|Powers
|GRANGE MUTUAL CASUALTY COMPANY PAC                
G2800|American Beverage Licensees
Z5200|Alhambra Democratic Club
F3200|Highmark Blue Cross/Blue Shield
|NESTLE WATERS NORTH AMERICA INC. PAC              
D2000|Lockheed Martin
T7200|International Warehouse Logistics Assn
|ALAN KEYES FOR PRESIDENT '96 INC
Z1100|Pete Sessions for Congress
|ARTS AND HUMANITIES FOR AMERICA POLITICAL ACTION C
F4100|National Assn of Real Estate Investment Trusts
F3100|CNO Financial Group
|FOSTER POULTRY FARMS PAC                          
E1210|North American Coal Corp
L0000|Prof & Technical Engineers Local 21
F4100|Council for Affordable & Rural Housing
A4200|Case New Holland
F1100|Sun Bancorp
G6100|American Amusement Machine Assn
|OCEANFIRST POLITICAL ACTION COMMITTEE             
T3200|Oshkosh Corp
E1200|National Mining Assn
Z1200|Adam Smith for Congress
Z1100|Friends of Roy Blunt
G2800|Constellation Brands
H4100|St Jude Medical
Z1100|Walter Jones Jr for Congress
|
J1200|Blue Dog PAC
|MAYER ELECTRIC SUPPLY COMPANY INC POLITICAL ACTION
|YOUNG JEWISH LEADERSHIP POLITICAL ACTION COMMITTEE
|
J2200|Freedom Project
|AMERICAN FREE ENTERPRISE PAC                      
|JESSE JACKSON JR FOR CONGRESS                     
|HAMMEL GREEN AND ABRAHAMSON
Z5200|Second Congr Dist Democratic Party
M1000|LyondellBasell Industries
|TORRICELLI FOR U S SENATE INC                     
H1130|American Academy of Otolaryngology
|OREGON WILD CONSERVATION LEADERS FUND FEDERAL PAC 
J7500|National Jewish Democratic Council
Z1100|Friends of Sessions Senate Cmte
Z1200|Mike McIntyre for Congress
Z1200|Evan Bayh Cmte
F2700|Managed Funds Assn
B0000|DC Building Industry Assn
F1100|Citizens Financial Group
Z1200|Blumenauer for Congress
G4600|National Pawnbrokers Assn
J2400|Keep Our Mission PAC
|NEW YORK STATE ASSOCIATION OF HEALTH CARE PROVIDER
J1100|Freedom Club of America
J2100|DNC PAC
Z1200|Jim Turner for Congress Cmte
|A BRTHD AIMED TOWARD EDUC OF IL FED ELEC DEVICE FO
A1600|USA Rice Federation
Z1100|Pickering for Congress
Z1200|Wyden for Senate
Z1200|Sherman for Congress
G6500|American Gaming Assn
|MSCPAC                                            
J1200|Lyndon LaRouche PAC
M1500|Society of the Plastics Industry
H5300|Apollo Education Group
Z1100|Friends of Joe Pitts
Z1200|Cummings for Congress Campaign Cmte
Z1100|Kay Granger for Congress
Z1200|Ruben Hinojosa for Congress
Z1200|Brian Baird for Congress
Z1100|Brady for Congress
K1000|Troutman Sanders
|THE TIMKEN COMPANY GOOD GOVERNMENT FUND           
Z1200|Bob Etheridge for Congress Cmte
Z1200|Diana Degette for Congress
|FRIENDS OF JOHN PETERSON                          
H4100|Medtronic Inc
LG400|Directors Guild of America
Z1200|Kind for Congress Cmte
|PLANNED PARENTHOOD OF HOUSTON AND SOUTHEAST TEXAS 
F3200|Blue Cross/Blue Shield of North Carolina
K1200|Cozen O'Connor
A1300|Swisher International
Z1100|Robert Aderholt for Congress
Z1200|Pascrell for Congress
Z1200|Rush Holt for Congress
F5200|Trans Union Corp
|MARION BERRY FOR CONGRESS                         
|AMERICAN AIR LIQUIDE HOLDINGS INC PAC             
Z1100|Collins for Senator
J7150|Planned Parenthood
H3400|Laboratory Corp of America
Z1200|Feinstein for Senate
Z5300|Libertarian Party of Illinois
J2200|21st Century PAC
|HOOLEY FOR CONGRESS                               
|INTERNATIONAL GAME TECHNOLOGY (IGT) PAC           
G5400|Funeral Directors Assn of Kentucky
J6200|Ohio Gun Collectors Assn
F3300|FBL Financial Group
J2400|Good Government for America
Z1100|Enzi for Senate
|SUPERIOR CALIFORNIA FEDERAL LEADERSHIP PAC        
M4000|Tupperware Brands
|ENVIRONMENTAL CHEMICAL CORPORATION (ECC) PAC      
Z1200|John Tierney for Congress
L1100|National Weather Service Employees Org
|BURNS AND ROE GROUP INC POLITICAL ACTION COMMITTEE
|TEAMSTERS LOCAL 77 POLITICAL ACTION COMMITTEE     
E1120|California Independent Petroleum Assn
A5000|Associated Oregon Loggers
|GALLAGHER & KENNEDY GOOD GOVERNMENT COMMITTEE     
Z5300|Green Party of New York State
Z1200|Friends of Carolyn McCarthy
E1100|Georgia Oilmen's Assn
F3100|Physician Insurers Assn of America
|COLLECTIVE BRANDS
|BLACKS IN GOVERNMENT POLITICAL ADVANCEMENT COUNCIL
J1200|8th Congressional District Democratic Cmte
T1600|National Business Aircraft Assn
J1200|New Democrat Network
LB100|Plasterers Union local 8
B1000|New York Building Congress
|NISEI FARMERS LEAGUE PAC                          
E1220|Freeport-McMoRan
H1120|Hawaii Optometric Assn
|A SECURE AMERICA PAC                              
|WESTERN ACTION PAC                                
LB100|Plumbers/Pipefitters Union Local 447
J1200|Irish American Democrats
E1220|Barrick Goldstrike Mines
|MOSS ADAMS LLP POLITICAL ACTION COMMITTEE         
Z1200|Donna Christensen Campaign
Z5100|Colusa County Republican Party
C2100|Salem Communications
F1200|Webster Bank
C4600|Alcatel-Lucent USA
J2100|House Majority Fund
T6100|VT Halter Marine
Z5200|Democratic Party Of Orange County
F3200|Hawaii Medical Service Assn
L1400|Rhode Island Brotherhood of Correction Offcers
F4600|California Assn of Mortgage Brokers
B5100|American Concrete Pavement Assn
Z5100|Butte County Republican Central Cmte
LB100|Plumbers/Pipefitters Union Local 50
J6200|Montana Shooting Sports Assn
C5120|Oracle Corp
Z5200|Montgomery County Democratic Cmte
G6500|Isle of Capri Casinos
J2100|Committee for a Livable Future
E1180|Oil Heat Institute of Long Island
H0000|Healthcare Leadership Cmte
F3200|National Assn of Dental Plans
H3700|Independent Health Assn
J1200|Stonewall Democratic Club
C5100|NCR Corp
E1620|Berkshire Hathaway Energy
L1400|Milwaukee Police Assn
H5150|American Academy of Emergency Medicine
J1100|Free Agents PAC
J1100|Campaign for Working Families
D5000|Huntington Ingalls Industries
Z1200|Friends of Mary Landrieu
|REFORM PARTY OF KANSAS                            
A2000|National Milk Producers Federation
H2200|American Seniors Housing Assn
J2200|Pioneer PAC
Z1200|Friends of Joe Baca
Z5100|Tuolumne County Republican Central Cmte
|THEATRICAL PROTECTIVE UNION LOCAL NO ONE IATSE NEW
F5000|First Command Financial Planning
J2300|Kucinich Action PAC
T9000|Sabre Inc
H1130|Society of Thoracic Surgeons
A6500|Washington State Farm Bureau
J2200|Defend America PAC
E1600|Electric Power Supply Assn
J2200|Fund for a Conservative Future
F1300|Truliant Federal Credit Union
F2100|Security Traders Assn
Z1200|Committee to Re-Elect Loretta Sanchez
G2900|Waffle House Inc
Z1200|Mike Thompson for Congress
A1200|Snake River Sugar
J2200|House Conservatives Fund
K2000|Spectrum Group
|GREAT WEST CASUALTY COMPANY EMPLOYEE & AGENT PAC  
F1400|Capital One Financial
Z1100|Kline for Congress Cmte
H1130|Kidney Care Council
J1200|Democratic Party of San Fernando Valley
Z1200|Tammy Baldwin for Senate
Z5100|Republican Party of Harris County
A1200|Amalgamated Sugar
|NATIONAL BREAST CANCER COALITION PAC              
H1400|New Jersey Dental Assn
Z1200|Schakowsky for Congress
|TREA SENIOR CITIZENS LEAGUE
|SOVEREIGN BANCORP INC PAC                         
Z5100|Yuba County Republican Central Cmte
|INTERNATIONAL SHIPHOLDING CORP POLITICAL ACTION CO
|NATIONAL SKI AREAS ASSOCIATION POLITICAL ACTION CO
M4100|Schottenstein Stores
J7400|Value in Electing Women PAC
J2100|Searchlight Leadership Fund
|SPECTRUM HEALTHCARE RESOURCES INC POLITICAL ACTION
|ILLINOIS ASSOCIATION OF MORTGAGE PROFESSIONALS IAM
LB100|Plumbers/Pipefitters Union Local 1
K2000|Cassidy & Assoc
LG400|Amer Federation of Musicians Local 802
|RHODE ISLAND REFORM PARTY STATE COMMITTEE         
Z1200|Friends of Jim Maloney
Z1200|Friends of Max Baucus
F1100|Arkansas Bankers Assn
C5100|Technet
J1100|Lincoln Club of Orange County
J2200|Committee for the Preservation of Capitalism
|AMERICAN BUSINESS MEDIA POLITICAL ACTION COMMITTEE
H3400|Quest Diagnostics
J2100|Education & Opportunity Fund
LB100|Plumbers/Pipefitters Union Local 51
Z1200|Meeks for Congress
G2900|National Franchisee Assn
G2900|YUM! Brands
|HOMESTREET INC POLITICAL ACTION COMMITTEE (HOMESTR
|LAROUCHE'S COMMITTEE FOR A NEW BRETTON WOODS      
Z1200|Udall for Us All
H1500|International Chiropractors Assn
|PROSTATE CANCER RESEARCH POLITICAL ACTION COMMITTE
C2200|21st Century Fox
G2900|TACO PAC
Z1200|Larson for Congress
E1210|Alliance Coal
|LYKES BROS INC POLITICAL ACTION COMMITTEE (LYKES P
T2300|AutoNation
C4400|DISH Network
A2000|Associated Milk Producers
J2200|TRUST PAC
Z1100|Lee Terry for Congress
Z1100|Mike Crapo for US Senate
Z1100|Ryan for Congress
H1130|American Assn of Physician Specialists
C5000|National Electrical Manufacturers Assn
|THE SERVICEMASTER COMPANY PAC (SERVEPAC)          
Z1200|Friends of Lois Capps
Z1100|Simpson for Congress
Z1200|Udall for Colorado
J1200|People for the American Way
H3200|American Academy of Sleep Medicine
Z1100|Gary Miller for Congress
|FASPAC FAREWAY STORES INC PAC                     
J2100|America Works
J2400|American Dream PAC
Z1200|Barbara Lee for Congress
Z1200|Friends Of Melinda Katz
F1410|Navient Corp
L1200|Organization of Staff Analysts
|UNITED ASSN OF JMEN & APPRENTICES OF THE PLUM BING
|CHURCHILL DOWNS INCORPORATED FPAC                 
C2200|DIRECTV Group
B3200|Independent Electrical Contractors
|DAVID MCSWEENEY FOR CONGRESS
Z5300|Libertarian Assn of Massachusetts
G1200|National Assn of Development Companies
J7120|Susan B Anthony List
H4300|Mylan Inc
|CITIZENS FOR PAUL FEINER                          
|TEXAS GOOD ROADS/TRANSPORTATION ASSOC PAC (ROAD PA
K1000|Bryan Cave LLP
|"ESSROC CEMENT CORP POLITICAL ACTION COMMITTEE ""ESS"
H4400|Cardinal Health
F1100|Independent Bankers Assn of Texas
Z1100|Mary Bono Cmte
A0000|Committee for Advancement of Louisiana Agric
|CALIFORNIA ACUPUNCTURE MEDICAL ASSOC PAC          
F5500|American Soc/Pension Prof & Actuaries
Z1100|Walden for Congress
E1620|CenterPoint Energy
B4000|Erdman Anthony Assoc
F1100|SVB Financial Group
G4600|Jewelers of America
Z1200|Bob Brady for Congress
|MCMULLEN FOR SENATE COMMITTEE INC                 
F1100|First Citizens Bancshares
Z5100|Fresno County Republican Central Cmte
J1100|Northern Virginia Republican PAC
|
|JOY GLOBAL INC. POLITICAL ACTION COMMITTEE (JOY GL
Z1200|Napolitano for Congress
M1000|NOVA Chemicals
T2500|Avis Budget Group
T0000|Transportation Intermediaries Assn
|MAHER TERMINALS LLC POLITICAL ACTION COMMITTEE    
|INTERNATIONAL HEALTH RACQUET & SPORTSCLUB ASSOCIAT
|FAMILY FIRST                                      
|OCEAN SHIPHOLDINGS INC POLITICAL ACTION COMMITTEE 
H3000|Acadian Ambulance Service
E0000|Water Systems Council
M1000|Ashta Chemicals
G2100|HJ Heinz Co
C4300|US Cellular
Z1100|Reynolds for Congress
G1000|Intellectual Property Owners Assn
J2400|Fund for American Opportunity
Z1200|Capuano for Congress Cmte
T9100|Asian American Hotel Owners Assn
F1100|Arvest Bank Group
F3400|Motorists Mutual Insurance
J1100|Family PAC
|ASSOCIATION OF DIRECTORY PUBLISHERS POLITICAL ACTI
F1300|Affinity Federal Credit Union
|GRANITE CONSTRUCTION INC. EMPLOYEE PAC - GRANITEPA
R|SWEENEY FOR CONGRESS
|NEW YORK STATE NARAL INC WOMEN'S HEALTH POLITICAL 
Z5300|Independent American Party
F2300|Morgan Stanley
LB100|Mason Tenders District Council of NY
E1620|OGE Energy
|K-VA-T FOOD STORES INC FOODPAC                    
G4100|Tom James Co
H2200|Assisted Living Federation of America
D3000|L-3 Communications
B1000|Illinois Road Builders Assn
|NESTLE PURINA PETCARE COMPANY POLITICAL ELECTION T
M3000|American Apparel & Footwear Assn
J1200|Pennsylvania Fedn of Democratic Women
|REFORM PARTY OF PENNSYLVANIA                      
|HOOSIER POLITICAL ACTION COMMITTEE                
Z1200|Crowley for Congress
|MAINSTREAM POLITICAL ACTION COMMITTEE             
C5200|Qualcomm Inc
J1200|Eden Area United Democratic Campaign
C2000|Time Warner
Z1200|Committee to Elect Charles W Sanders
|TAXPAYERS LEAGUE FEDERAL PAC                      
M4200|Pitney Bowes Inc
|PITTSBURGH TECHNOLOGY COUNCIL PAC                 
Z5100|4th Congressional Dist Republican Party
H1130|US Oncology
|ROCKLAND COUNTY PATROLMEN'S BENEVOLENT ASSN PAC   
G6550|Tunica-Biloxi Tribe of Louisiana
G6100|Amusement & Music Operators Assn
|
M1000|BASF Corp
A2000|Dean Foods
E1300|STP Nuclear Operating Co
|MATTEL INC. POLITICAL ACTION COMMITTEE            
H4100|AdvaMed
F3200|Blue Cross/Blue Shield of California
|PIKE ELECTRIC INC FEDERAL PAC                     
E5000|Aqua America
T1000|National Air Transportation Assn
J2200|Texas Freedom Fund
F2100|Waddell & Reed
F5200|Trover Solutions
E2000|National Ground Water Assn
|GIBSON AND SHARPS PSC POLITICAL ACTION COMMITTEE  
H3200|DaVita HealthCare Partners
B1000|Constructors Assn of Western Penn
JH100|Committee for Accessible Health Care
B4000|Day & Zimmermann
|MASCO POLITICAL ACTION COMMITTEE                  
K1000|Robinson & Cole
J1200|Moveon.org
Z1100|Henry E Brown Jr for Congress
T1100|Southwest Airlines
A4000|National Agricultural Aviation Assn
